Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cyprus,,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,,71828.81281,72869.39473,69838.03849,70444.30974,68122.84202,68371.96439,69338.69145,69033.3512,66359.14384,62189.09997,60857.50785,59912.82701
Denmark,,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Finland,,0,0,0,0,0,0,0,0,0,0,0,0
Former Czechoslovakia,,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,44659.04242,44890.52781,47124.91293,49480.55231,49786.99486,45201.37961,--,--,--,--,--,--
Former Yugoslavia,,--,--,--,--,--,--,--,--,--,--,--,--
France,,3816.20193,2530.90688,1797.86983,1916.91945,176.36982,0,0,0,0,0,0,0
Germany,,226047.6064,227112.5163,232573.1574,229102.1883,232672.5748,226993.4667,220553.7638,225526.2903,214268.3844,202409.7188,200954.6678,207852.9323
Germany East,,--,--,--,--,--,--,--,--,--,--,--,--
Germany West,,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,0,0,0,0,0,0,0,0,0,0,0,0
Greece,,70423.36583,73131.74484,77677.67688,75286.76354,77206.98993,76498.20373,71415.44605,73092.06163,72443.90255,71532.29105,62302.63804,64779.53167
Hungary,,15468.73531,15337.56026,14359.81008,14661.84339,12392.1843,10549.11971,10970.20265,10822.49293,10366.13603,9905.36988,10045.36342,10532.58504
Iceland,,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,,51.80863,51.80863,60.62712,56.21788,60.62712,60.62712,61.72944,59.52481,65.03637,78.26411,72.75255,67.24099
Italy,,15.43236,153.22128,179.67675,275.57784,108.02651,104.71958,23.14854,174.16519,128.97043,79.36642,111.33345,101.41265
Kosovo,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6704.25769,6704.25769
Luxembourg,,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,,8284.97218,8935.33588,8355.52011,8137.26246,7986.2458,7585.00446,7318.24512,7174.94464,8410.63567,8185.76416,7411.94158,6568.67339
Malta,,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,,--,--,--,--,--,--,1666.69478,1326.08057,1918.02177,1054.91197,2136.27941,2136.27941
Netherlands,,0,0,0,0,0,0,0,0,0,0,0,0
Norway,,696.66078,1970.93271,2350.12782,3245.20464,3201.11219,1621.50001,2640.03571,4489.71417,3780.92796,2911.2043,2132.97248,1527.80354
Poland,,179246.6959,180046.0921,178249.8647,179212.6785,178260.2815,174987.5191,171134.9409,159773.4177,157993.1849,148355.6766,146256.8758,152628.2355
Portugal,,0,0,0,0,0,0,0,0,0,0,0,0
Romania,,32281.18816,36694.84285,33525.69769,36445.72048,35044.68274,34288.49715,38496.01961,39440.70044,39529.98766,37435.59608,34311.64569,38870.80547
Serbia,,--,--,--,--,--,--,45736.00062,46153.77662,48651.61416,49096.94795,48565.63388,51697.30045
Slovakia,,4021.23184,3774.3141,3752.26787,3413.85828,3254.02313,2767.90382,2426.1873,2326.97928,2670.90042,2836.24713,2621.29641,2619.09179
Slovenia,,4937.25258,4555.85285,5166.53334,5324.16387,5301.01533,5003.39126,4984.65197,4998.98202,4983.54966,4882.13701,4883.23932,4961.50343
Spain,,25872.34992,24998.21701,24288.3285,22665.72617,22583.05282,21474.12759,20334.33765,18939.91378,11229.24582,10411.33079,9292.48476,7298.40351
Sweden,,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,,69741.03509,68450.22849,59507.17643,53531.54655,51121.89392,64308.84471,70829.01641,83074.5933,87525.72657,87632.65077,80908.55148,86062.9594
United Kingdom,,33730.7276,34737.13787,32561.17525,30599.06103,27045.20921,22055.04568,19928.68707,18232.22989,19405.08917,19151.55756,19639.88149,19722.55484
Armenia,,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,,0,0,0,0,0,0,0,0,0,0,0,0
Former U.S.S.R.,,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,7.71618,1.10231,6.61387,8.81849,8.81849,5.51156,9.9208,15.43236,12.12542,167.55133,115.74269,80.46873
Kazakhstan,,85367.40093,87167.47538,81566.63136,93819.92443,95912.11139,96118.24362,106554.9276,107836.9157,122435.9273,111172.5099,122278.2968,128606.6663
Kyrgyzstan,,468.48233,523.5979,505.96091,458.56153,499.34705,369.27431,353.84195,435.41299,542.33719,663.59144,641.54521,931.4531
Latvia,,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,,0,0,0,0,0,0,0,0,0,0,0,0
Russia,,264911.8752,262391.9914,261887.1328,283270.8709,285436.9127,311822.9397,313680.3343,318591.1314,336163.0768,343746.979,358932.4203,367985.7035
Tajikistan,,24.25085,26.45547,39.68321,51.80863,102.51496,109.12882,115.74269,199.51836,219.35996,222.66689,220.46227,220.46227
Turkmenistan,,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,,68787.53577,67994.9739,67853.87805,70803.66325,65685.6316,66536.61597,67980.64385,64953.69686,65728.62175,61222.37291,61053.71927,68129.45589
Uzbekistan,,2831.83788,2988.3661,3017.02619,2108.72163,3068.83482,3390.70974,3565.97725,3794.1557,3626.60437,4027.84571,3681.71994,3132.76888
Bahrain,,0,0,0,0,0,0,0,0,0,0,0,0
Iran,,1265.45344,1075.85589,1137.58532,1259.94188,1327.18288,1715.19648,1819.91605,1835.34841,1752.67506,1269.86269,1129.86914,1294.11354
Iraq,,0,0,0,0,0,0,0,0,0,0,0,0
Israel,,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,,0,0,0,0,0,0,0,0,0,0,0,0
Oman,,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territories,,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,,0,0,0,0,0,0,0,0,0,0,0,0
Syria,,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,,0,0,0,0,0,0,0,0,0,0,0,0
Angola,,0,0,0,0,0,0,0,0,0,0,0,0
Benin,,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,,1043.88886,1025.14956,1050.50273,907.20225,1006.41027,1085.77669,1060.42353,912.71381,1003.10334,813.50578,1089.08362,813.50578
Burkina Faso,,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,,1.10231,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,,0,0,0,0,0,0,0,0,0,0,0,0
Chad,,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),,105.82189,109.12882,112.43576,115.74269,119.04963,132.27736,135.5843,139.99354,144.40279,148.81203,153.22128,145.5051
Cote dIvoire (IvoryCoast),,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,,63.93406,40.78552,40.78552,40.78552,36.37627,27.55778,0,0,0,0,0,26.45547
Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,,0,0,0,0,0,0,0,0,0,0,0,0
Gambia The,,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,,0,0,0,0,0,0,0,0,0,0,0,0
Libya,,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,,86.796,53.20857,65.84106,72.86278,55.11557,49.60401,60.62712,66.13868,57.62884,59.52481,55.11557,55.11557
Mali,,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,,68.3433,4.40925,0,0,26.45547,13.22774,4.40925,0,0,0,0,0
Mozambique,,17.63698,30.86472,48.5017,40.78552,18.73929,3.30693,45.19477,26.45547,41.88783,41.88783,41.88783,41.88783
Namibia,,0,0,0,0,0,0,0,0,0,0,0,0
Niger,,174.38566,180.00745,201.61275,208.22662,260.78923,200.68681,194.35954,188.82153,201.62598,248.09942,248.09942,248.09942
Nigeria,,3.30693,3.30693,47.39939,25.35316,3.30693,8.81849,8.81849,8.81849,8.81849,8.81849,8.81849,8.81849
Reunion,,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,,248934.9743,250786.8574,245766.9315,263784.3264,267665.9141,270050.8507,269817.1607,273005.0452,278017.2549,275014.5588,280562.4919,279000.5167
Sudan and South Sudan,,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,,383.8796,496.04011,561.96439,452.50984,488.70974,497.0743,488.91323,508.95865,524.20417,530.68576,530.68576,530.68576
Tanzania,,87.0826,85.98029,87.0826,60.62712,71.65024,82.67335,88.18491,94.79878,101.41265,108.02651,115.74269,104.71958
Togo,,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,,213.8484,223.76921,234.79232,245.81543,131.17505,165.3467,70.54793,15.43236,1.10231,1.10231,1.10231,1.10231
Zimbabwe,,4695.84639,4569.08059,4367.35761,3913.20533,3764.39329,3991.46943,3799.66726,3807.38344,2982.85454,3143.792,3398.42592,3302.52483
Afghanistan,,89.07778,28.6601,23.14854,38.5809,37.47859,36.37627,38.5809,267.86166,382.50204,551.15568,551.15568,551.15568
American Samoa,,0,0,0,0,0,0,0,0,0,0,0,0
Australia,,338103.1448,362855.5464,374673.4265,376619.006,388230.7539,410674.9155,425312.508,441696.1618,437701.3854,453763.1642,467479.2245,456690.9032
Bangladesh,,0,0,0,0,0,84.87797,497.14242,397.9344,925.94154,978.85249,848.77975,1102.31136
Bhutan,,55.11557,93.25113,97.62841,73.1097,32.66259,94.00401,107.98793,116.0304,136.36032,53.5117,55.11557,55.11557
Brunei,,0,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),,639.34059,707.68389,536.82563,943.57852,514.7794,632.72672,807.99423,854.2913,737.4463,683.43304,756.18559,1559.77057
Cambodia,,0,0,0,0,0,0,0,0,0,0,0,0
China,,1514054.415,1625972.087,1716604.127,1951927.761,2132343.061,2477879.091,2647755.193,2844310.536,3021899.51,3301802.819,3505519.879,3844942.491
Cook Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,,0,0,0,0,0,0,0,0,0,0,0,0
Guam,,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,,0,0,0,0,0,0,0,0,0,0,0,0
India,,370018.3656,388674.9854,395625.0585,420525.1698,446683.0184,473266.3591,500192.5187,531521.3098,568447.6381,613402.0999,611718.8705,639627.1895
Indonesia,,84469.01717,103225.9473,112629.7655,129089.4787,158417.5747,187989.2816,257186.8772,274290.3402,274217.5877,321044.8765,358251.1919,414799.7646
Japan,,3267.25087,3536.21484,0,0,0,0,0,0,0,0,0,0
Kiribati,,0,0,0,0,0,0,0,0,0,0,0,0
Korea North,,32786.04677,33660.17967,32360.55458,33316.25853,34955.39552,38150.99615,38697.74259,33441.92203,35641.03319,34784.53726,35226.56412,34784.53726
Korea South,,4574.59214,4207.52246,3657.46909,3635.42286,3517.47555,3121.74577,3112.92728,3181.27058,3056.7094,2776.72231,2297.21687,2297.21687
Laos,,454.25017,415.92522,551.22149,495.05233,660.12147,685.59468,713.97368,1143.59402,850.41668,967.7456,954.71187,954.71187
Macau,,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,,423.28756,601.862,389.11591,192.90449,428.99313,870.11719,1016.11171,1161.70279,1382.29844,2356.74169,2642.24033,3132.76888
Maldives,,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,,5715.4844,5666.9827,6111.21418,5852.17101,5952.48134,8295.99529,8900.06192,10183.15234,11101.3777,15919.58065,28059.33566,34553.05188
Nauru,,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,,18.73929,11.02311,13.22774,12.12542,9.9208,13.22774,22.04623,15.43236,16.53467,16.53467,17.63698,17.63698
New Caledonia,,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,,3952.48619,4311.57624,4915.13911,5709.87584,5682.84937,5806.05251,6358.03382,5330.12517,5411.71054,5030.2138,5875.8707,5453.1343
Niue,,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,,3410.55135,3668.4922,3650.85522,3610.0697,5056.30221,5369.35863,4015.72028,4545.93205,4121.54217,3837.14584,3804.0765,4044.38038
Papua New Guinea,,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,,1492.52958,1359.14991,1678.8202,2205.72503,2737.03911,3174.65672,2597.04556,3741.24475,3978.2417,5166.53334,7330.37054,10400.30768
Samoa,,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,,91.69026,0,0,0,0,0,0,0,0,0,0,0
Thailand,,19605.43096,21613.01331,21607.48963,20771.28836,22112.19391,23014.25057,21021.74783,20105.25089,20157.40014,19605.70984,20220.79958,23299.55521
Timor-Leste (East Timor),,--,--,--,0,0,0,0,0,0,0,0,0
Tonga,,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,,12796.73257,14288.15984,17526.75062,18408.5997,28108.93967,36065.42306,43528.07097,47596.70219,45438.37655,48443.27732,49232.53225,49079.31097
Wake Island,,0,0,0,0,0,0,0,0,0,0,0,0
